"deg";"E";"Cc";"cCc"
4;6.0;1.0;0.0375
50;667.0;0.5444897959183673;0.3335
67;926.0;0.41881501582994124;0.3455223880597015
6;11.0;0.7333333333333333;0.04583333333333333
7;21.0;1.0;0.075
46;618.0;0.5971014492753624;0.3358695652173913
5;7.0;0.7;0.034999999999999996
94;1062.0;0.242964996568291;0.2824468085106383
9;34.0;0.9444444444444444;0.09444444444444444
4;3.0;0.5;0.01875
2;0.0;0.0;0.0
1;0.0;0;0.0
9;27.0;0.75;0.075
6;8.0;0.5333333333333333;0.03333333333333333
28;341.0;0.9021164021164021;0.30446428571428574
2;1.0;1.0;0.0125
29;217.0;0.5344827586206896;0.18706896551724136
62;830.0;0.43892120571126386;0.3346774193548387
4;2.0;0.3333333333333333;0.0125
3;3.0;1.0;0.025
1;0.0;0;0.0
85;939.0;0.2630252100840336;0.2761764705882353
41;547.0;0.6670731707317074;0.3335365853658537
7;18.0;0.8571428571428572;0.0642857142857143
16;112.0;0.9333333333333333;0.175
6;10.0;0.6666666666666667;0.04166666666666667
3;0.0;0.0;0.0
35;425.0;0.7142857142857143;0.30357142857142855
4;6.0;1.0;0.0375
53;727.0;0.5275761973875182;0.3429245283018868
1;0.0;0;0.0
61;851.0;0.4650273224043716;0.3487704918032787
48;523.0;0.46365248226950356;0.27239583333333334
1;0.0;0;0.0
42;572.0;0.6643437862950058;0.3404761904761905
1;0.0;0;0.0
8;21.0;0.75;0.065625
94;1075.0;0.2459391443605582;0.2859042553191489
23;186.0;0.7351778656126483;0.20217391304347826
4;6.0;1.0;0.0375
1;0.0;0;0.0
4;5.0;0.8333333333333334;0.03125
1;0.0;0;0.0
1;0.0;0;0.0
18;130.0;0.8496732026143791;0.18055555555555555
3;3.0;1.0;0.025
5;10.0;1.0;0.05
10;30.0;0.6666666666666666;0.075
1;0.0;0;0.0
1;0.0;0;0.0
2;1.0;1.0;0.0125
1;0.0;0;0.0
20;155.0;0.8157894736842105;0.19375
12;50.0;0.7575757575757577;0.10416666666666667
2;1.0;1.0;0.0125
1;0.0;0;0.0
68;677.0;0.29719051799824403;0.2488970588235294
19;137.0;0.8011695906432749;0.18026315789473685
26;225.0;0.6923076923076923;0.21634615384615383
7;15.0;0.7142857142857143;0.05357142857142857
2;1.0;1.0;0.0125
6;9.0;0.6;0.0375
2;1.0;1.0;0.0125
1;0.0;0;0.0
2;1.0;1.0;0.0125
1;0.0;0;0.0
1;0.0;0;0.0
19;164.0;0.9590643274853802;0.21578947368421053
15;65.0;0.619047619047619;0.10833333333333332
2;1.0;1.0;0.0125
3;3.0;1.0;0.025
16;84.0;0.7;0.13125
56;757.0;0.49155844155844153;0.33794642857142854
18;111.0;0.7254901960784315;0.15416666666666667
49;649.0;0.5518707482993197;0.3311224489795918
3;3.0;1.0;0.025
50;519.0;0.42367346938775513;0.2595
10;42.0;0.9333333333333333;0.10500000000000001
2;1.0;1.0;0.0125
4;5.0;0.8333333333333334;0.03125
14;71.0;0.7802197802197802;0.12678571428571428
3;3.0;1.0;0.025
1;0.0;0;0.0
2;1.0;1.0;0.0125
7;12.0;0.5714285714285714;0.04285714285714286
87;1014.0;0.2710505212510024;0.29137931034482756
1;0.0;0;0.0
44;507.0;0.5359408033826639;0.28806818181818183
23;153.0;0.6047430830039526;0.16630434782608697
2;1.0;1.0;0.0125
2;1.0;1.0;0.0125
2;1.0;1.0;0.0125
5;9.0;0.9;0.045
1;0.0;0;0.0
10;28.0;0.6222222222222222;0.06999999999999999
8;25.0;0.8928571428571429;0.078125
1;0.0;0;0.0
7;15.0;0.7142857142857143;0.05357142857142857
3;3.0;1.0;0.025
1;0.0;0;0.0
17;117.0;0.8602941176470589;0.17205882352941176
23;203.0;0.8023715415019762;0.22065217391304345
1;0.0;0;0.0
59;717.0;0.41905318527177093;0.3038135593220339
9;28.0;0.7777777777777778;0.07777777777777778
14;83.0;0.9120879120879122;0.14821428571428572
7;17.0;0.8095238095238094;0.06071428571428571
4;6.0;1.0;0.0375
22;202.0;0.8744588744588745;0.22954545454545455
6;11.0;0.7333333333333333;0.04583333333333333
101;1213.0;0.2401980198019802;0.30024752475247524
17;87.0;0.6397058823529411;0.12794117647058822
1;0.0;0;0.0
60;706.0;0.39887005649717516;0.2941666666666667
4;5.0;0.8333333333333334;0.03125
11;45.0;0.8181818181818181;0.10227272727272727
118;1256.0;0.18194987686513112;0.26610169491525426
13;31.0;0.3974358974358974;0.05961538461538461
36;410.0;0.6507936507936508;0.2847222222222222
1;0.0;0;0.0
1;0.0;0;0.0
7;14.0;0.6666666666666666;0.05
7;17.0;0.8095238095238094;0.06071428571428571
1;0.0;0;0.0
2;1.0;1.0;0.0125
2;1.0;1.0;0.0125
9;26.0;0.7222222222222222;0.07222222222222222
5;5.0;0.5;0.025
17;84.0;0.6176470588235294;0.12352941176470589
13;66.0;0.8461538461538461;0.12692307692307692
6;13.0;0.8666666666666666;0.05416666666666666
17;92.0;0.6764705882352942;0.13529411764705884
1;0.0;0;0.0
1;0.0;0;0.0
1;0.0;0;0.0
1;0.0;0;0.0
10;32.0;0.7111111111111111;0.08
1;0.0;0;0.0
9;22.0;0.6111111111111112;0.061111111111111116
22;165.0;0.7142857142857143;0.1875
1;0.0;0;0.0
10;35.0;0.7777777777777778;0.0875
5;10.0;1.0;0.05
18;89.0;0.5816993464052288;0.12361111111111112
1;0.0;0;0.0
2;1.0;1.0;0.0125
1;0.0;0;0.0
33;410.0;0.7765151515151515;0.3106060606060606
62;753.0;0.3982020095187731;0.3036290322580645
1;0.0;0;0.0
2;1.0;1.0;0.0125
27;185.0;0.5270655270655271;0.1712962962962963
19;122.0;0.7134502923976609;0.16052631578947368
7;20.0;0.9523809523809524;0.07142857142857142
56;826.0;0.5363636363636364;0.36875
8;24.0;0.8571428571428571;0.075
42;604.0;0.7015098722415796;0.3595238095238095
3;3.0;1.0;0.025
3;3.0;1.0;0.025
1;0.0;0;0.0
19;168.0;0.9824561403508772;0.2210526315789474
27;317.0;0.9031339031339031;0.2935185185185185
29;350.0;0.8620689655172413;0.3017241379310345
5;10.0;1.0;0.05
2;1.0;1.0;0.0125
34;449.0;0.8003565062388591;0.3301470588235294
47;642.0;0.5938945420906567;0.3414893617021276
3;3.0;1.0;0.025
24;98.0;0.3550724637681159;0.10208333333333333
3;3.0;1.0;0.025
3;3.0;1.0;0.025
10;18.0;0.4;0.045
4;5.0;0.8333333333333334;0.03125
6;10.0;0.6666666666666667;0.04166666666666667
3;3.0;1.0;0.025
4;6.0;1.0;0.0375
21;148.0;0.7047619047619047;0.17619047619047618
9;32.0;0.8888888888888888;0.08888888888888888
1;0.0;0;0.0
5;9.0;0.9;0.045
8;25.0;0.8928571428571429;0.078125
1;0.0;0;0.0
4;2.0;0.3333333333333333;0.0125
2;1.0;1.0;0.0125
4;2.0;0.3333333333333333;0.0125
2;1.0;1.0;0.0125
2;1.0;1.0;0.0125
1;0.0;0;0.0
